generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
281,5.225400,4.676600,17.62,8797.10,
282,5.225400,4.825600,17.42,8814.52,
283,5.225400,3.969400,17.53,8832.04,
284,5.225400,4.515400,17.61,8849.65,
285,5.225400,4.046200,17.70,8867.36,
286,5.225400,4.008800,17.45,8884.81,
287,5.225400,3.593800,17.52,8902.33,
288,5.225400,4.759600,38.39,8940.73,
289,5.225400,4.890600,17.43,8958.16,
290,5.225400,4.396800,110.02,9068.17,
291,5.225400,4.058400,17.91,9086.08,
292,5.225400,4.894200,17.67,9103.75,
293,5.225400,3.954400,17.51,9121.25,
294,5.225400,3.842800,17.44,9138.69,
295,5.225400,4.296200,17.25,9155.94,
296,5.225400,4.721800,17.42,9173.37,
297,5.225400,4.391600,17.39,9190.75,
298,5.225400,4.108200,17.41,9208.16,
299,5.225400,4.309200,17.92,9226.08,
